id,brand,car_model,type,desc,problem,datetime,status
487960,奔驰（进口）,奔驰R级,2017款 R 320 4MATIC 商务型臻藏版,进口奔驰R级发动机故障灯亮电路板烧毁,"A34,H109,H110,L314,",2020-06-24,信息审核
487958,众泰汽车,众泰SR7,2016款 1.5T 手动 魔方之路版 国IV,众泰SR7减震器漏油严重厂家无配件提供,"G25,N318,",2020-06-24,信息审核
487957,东风雪铁龙,雪铁龙C4L,2014款 1.8L 自动 智驱版 劲智型,东风雪铁龙C4L方向盘上下左右松动,"D337,",2020-06-24,信息审核
487955,广汽本田,雅阁,2018款 230TURBO 舒适版 国V,广汽本田雅阁高速行驶中踩油门没有反应,"A255,",2020-06-24,信息审核
487954,北汽新能源,北汽新能源EC,2017款 EC200 灵动版,北汽新能源EC全车断电 售后无配件维修,"A346,N318,",2020-06-24,信息审核
487952,广汽乘用车,传祺GS5,2019款 270T 自动 豪华版,广汽传祺GS5发动机无法启动要求解决,"A44,",2020-06-24,信息审核
487951,上汽集团,荣威RX5 MAX,2019款 400TGI 自动 智能座舱豪华版,上汽荣威RX5 MAX经销商出售库存车,"L313,M283,",2020-06-24,信息审核
487945,江淮汽车,瑞风S3,2015款 1.5L 手动 豪华智能尊享版,江淮瑞风S3维修人员喷漆后车漆脱落,"J303,",2020-06-24,信息审核
487944,广汽丰田,汉兰达,2015款 2.0T 四驱 豪华版 7座,广汽丰田汉兰达高压喷油嘴漏油热车启动困难,"A12,A44,",2020-06-24,处理反馈
487943,吉利汽车,博越,2020款 1.8TD DCT 智慧PRO,吉利博越变速箱挡位灯与厂家宣传不符,"M279,",2020-06-24,信息审核
487941,东风标致,标致408,2015款 1.2T 自动 豪华版,东风标致408更换正时皮带后发动机损坏,"J300,",2020-06-24,信息审核
487938,吉利汽车,帝豪GL,2017款 1.3T 手动 精英型,吉利帝豪GL离合器分泵漏油存在质量问题,"C207,",2020-06-24,信息审核
487935,上汽大众,途观L,2017款 380TSI 四驱 旗舰版,上汽大众途观L变速箱异响严重希望处理,"B33,",2020-06-24,信息审核
487933,奇瑞捷豹路虎,发现运动版,2020款 249PS R-Dynamic SE 性能科技版 7座,奇瑞捷豹路虎发现运动版发动机无法启动,"A44,D57,",2020-06-24,处理反馈
487932,众泰汽车,众泰T700,2017款 1.8T 双离合 尊贵型,众泰T700离合器打滑 发动机报警 换挡顿挫,"A34,B19,C16,",2020-06-24,信息审核
487930,吉利汽车,缤越,2019款 260T DCT 骑士 国VI,吉利缤越减震器过软 车辆风噪大	,"G162,H164,",2020-06-24,信息审核
487929,吉利汽车,博越,2016款 1.8TD 自动 两驱 智联型,吉利博越变速箱异响顿挫希望处理,"B33,B19,",2020-06-24,信息审核
487926,广汽本田,缤智,2015款 1.5L CVT 两驱舒适型,广汽本田缤智停车怠速时车辆窜动明显,"B95,",2020-06-24,信息审核
487924,比亚迪,比亚迪G5,2014款 1.5TI 手动 豪华型,比亚迪G5车内塑料味严重一直无法解决,"H185,",2020-06-24,处理反馈
487922,东风标致,标致408,2015款 1.2T 自动 豪华版,东风标致408正时皮带掉毛 发动机烧机油,"A63,A336,",2020-06-24,信息审核
487921,广汽丰田,雷凌,2019款 185T CVT 豪华版 国VI,广汽丰田雷凌冷车时发动机舱转向异响,"A9,D59,",2020-06-24,处理反馈
487920,长安汽车,长安CS75 PLUS,2020款 2.0T 自动 旗舰型,长安CS75 PLUS蓄电池电量低影响使用,"H146,",2020-06-24,处理反馈
487919,奇瑞新能源,奇瑞eQ1,2019款 小蚂蚁 智享版 4座 30.6kWh,奇瑞eQ1销售价格不透明商家克扣厂家补助,"K308,",2020-06-24,信息审核
487918,长安汽车,长安CS15,2016款 1.5L 手动 时尚版,长安CS15缺少随车工具希望尽快处理,"O354,",2020-06-24,信息审核
487917,吉利汽车,星越,2020款 350T 驭星者,吉利星越车机卡顿黑屏 雨刷器异响,"H155,H60,M279,",2020-06-24,信息审核
487916,东风标致,标致408,2014款 1.8L 自动 豪华版,东风标致408空调压缩机损坏无法制冷,"H101,",2020-06-24,信息审核
487911,上汽通用五菱,五菱宏光,2018款 1.2L S 基本型 经典款,上汽通用五菱宏光4S店售后态度极差,"I293,",2020-06-24,信息审核
487909,东南汽车,东南DX3,2017款 1.5T 手动 尊贵型,东南DX3正常行驶中发生自燃存在质量问题	,"H40,",2020-06-24,信息审核
487905,长安马自达,马自达3 昂克赛拉,2020款 1.5L 自动 质美版,长安马自达昂克赛拉变速箱顿挫 发动机抖动	,"A24,B19,E43,",2020-06-24,信息审核
487904,跃进,C500,轻卡,跃进C500发动机不烧尿素变速箱故障,"A34,A44,B33,I295,",2020-06-24,信息审核
487903,上汽集团,锐腾,2015款 1.5TGI TST 豪华版,上汽名爵锐腾维修人员操作失误致电瓶报废,"I295,J299,",2020-06-24,厂家受理
487901,上汽斯柯达,速派,2016款 TSI280 DSG 创行版,斯柯达速派主驾驶侧车窗无法正常下降,"H67,",2020-06-24,信息审核
487899,吉利汽车,博越,2020款 1.8TD DCT 智领PRO,吉利博越简配挡位及雾灯 希望厂家尽快解决,"M279,",2020-06-24,信息审核
487897,吉利汽车,星越,2019款 300T 耀星者,吉利星越车机系统升级后仍然卡顿,"O348,",2020-06-24,信息审核
487896,奔驰（进口）,奔驰B级,2009款 2.0L CVT 200 时尚型,进口奔驰B级变速箱阀体故障出现顿挫	,"B19,B115,",2020-06-24,信息审核
487895,一汽丰田,锐志,2009款 2.5S 舒适版 新锐志 REIZ,一汽丰田锐志中控仪表台开裂希望尽快处理,"H176,",2020-06-24,信息审核
487893,奔驰（进口）,奔驰S级,2020款 S 350 L 尊享型 臻藏版,进口奔驰S级漏防冻液 油表不显示,"A37,H202,",2020-06-24,信息审核
487892,华晨宝马,宝马X1,2016款 xDrive20Li 豪华型,华晨宝马X1启动车辆后防侧滑故障灯亮,"H170,",2020-06-24,信息审核
487890,一汽丰田,RAV4荣放,2020款 2.0L CVT 两驱 尊贵版,一汽丰田RAV4荣放机油增多汽油味浓重,"A339,",2020-06-24,信息审核
487888,吉利汽车,博越,2020款 1.8TD DCT 智尊PRO,吉利博越挡位指示灯和雾灯与宣传不符,"M279,",2020-06-24,信息审核
487887,华晨中华,中华H230EV,2017款 豪华型,中华H230EV动力电池故障希望解决,"H343,",2020-06-24,信息审核
487886,华晨宝马,宝马X3,2019款 xDrive28i 豪华套装,华晨宝马X3天窗周围顶棚漏水质量差,"H90,",2020-06-24,信息审核
487882,奇瑞汽车,瑞虎8,2018款 1.5TCI 手动 豪华型 7座,奇瑞瑞虎8过减速带后悬挂异响严重,"G56,",2020-06-24,信息审核
487878,领克汽车,领克03,2019款 1.5TD DCT 劲Pro版 国VI,领克03主副驾驶座椅磨损严重希望厂家处理,"H169,",2020-06-24,处理反馈
487877,长安汽车,悦翔V5,2012款 1.5L 手动 梦幻型 国IV,长安悦翔V5电路故障行驶中断电轮毂变形,"H243,H110,",2020-06-24,信息审核
487875,上汽大众,途观L,2019款 330TSI 自动 两驱 全景舒适版 国V,上汽大众途观L天窗漏水4S店订件时间长,"H90,I295,L314,L310,N320,",2020-06-24,信息审核
487873,一汽奔腾,奔腾T99,2019款 20TD 自动 旗舰型,一汽奔腾T99电瓶亏电导致车辆无法启动,"H146,",2020-06-24,处理反馈
487871,上汽大众,途铠,2020款 1.5L 自动 舒适版,上汽大众途铠车身有严重漏水的现象,"H109,",2020-06-24,信息审核
487870,一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版,一汽大众探岳变速箱挡杆卡死车辆无法行驶,"B184,",2020-06-24,信息审核
487869,一汽丰田,皇冠,2015款 2.5L 智享版,一汽丰田皇冠安全气囊游丝故障导致故障报警,"H103,",2020-06-24,信息审核
487867,北京现代,胜达,2015款 2.4L 自动 两驱 智能型 5座,北京现代胜达保修期内发动机异响厂家拒赔,"A9,I297,Q349,",2020-06-24,信息审核
487866,广汽本田,雅阁,2016款 2.0L CVT  舒适版,广汽本田雅阁车身抖动邓禄普轮胎开裂,"F100,",2020-06-24,信息审核
487865,北京现代,领动,2018款 1.4T 双离合 炫动·活力型,北京现代领动变速箱异响顿挫4S店不给处理,"B33,B19,I295,I297,",2020-06-24,信息审核
487863,上汽大众,Polo,2013款 POLO 1.6 自动 舒适版,上汽大众Polo车辆出险经销商私自定损维修,"I295,M315,O305,O353,",2020-06-24,信息审核
487862,吉利汽车,星越,2019款 300T 耀星者,吉利星越车机系统升级后仍然无法正常使用,"O348,",2020-06-24,处理反馈
487861,北京奔驰,奔驰C级,2015款 180 L 运动型,北京奔驰C级正常行驶过程中发动机爆缸,"A136,",2020-06-24,信息审核
487860,吉利汽车,星越,2019款 350T AWD 驭星者,吉利星越车机死机软件版本老旧与宣传不符,"H155,M279,",2020-06-24,处理反馈
487858,吉利汽车,博越,2020款 1.8TD DCT 智尊PRO,吉利博越变速箱没有挡位灯没有前雾灯,"M279,",2020-06-24,处理反馈
487857,华晨宝马,宝马X1,2018款 sDrive20Li 领先型,华晨宝马X1发动机支架断裂 球笼套损坏,"A241,G161,",2020-06-24,信息审核
487856,众泰汽车,众泰SR9,2017款 2.0T 自动 极致之路版,众泰SR9行驶中挡位及刹车失灵 轮胎摆动,"B115,E29,G204,",2020-06-24,处理反馈
